,Abies_lasiocarpa,Tsuga_heterophylla,Tsuga_mertensiana,Picea_engelmannii,Thuja_plicata,Pinus_monticola,Pinus_contorta,Abies_grandis,Pseudotsuga_menziesii,Pinus_ponderosa,Larix_occidentalis
0,257,429,681,942,1110,1523,1153,926,698,422,240
1,253,424,676,934,1097,1503,1132,915,691,416,234
2,250,422,664,920,1084,1484,1117,903,683,409,233
3,248,412,657,909,1060,1459,1102,893,675,402,224
4,244,410,652,896,1055,1439,1091,880,665,394,219
5,242,409,644,890,1043,1421,1081,866,659,386,219
6,240,405,641,880,1032,1403,1079,859,651,384,217
7,237,402,639,870,1018,1388,1067,852,646,380,216
8,234,394,631,863,1010,1377,1058,841,640,379,213
9,233,388,622,855,1003,1372,1048,832,629,373,213
10,230,386,618,849,996,1356,1034,821,624,368,212
11,230,386,617,845,994,1355,1029,817,623,368,210
12,229,386,614,840,992,1351,1026,814,622,366,210
13,229,384,613,836,990,1350,1021,810,621,365,209
14,229,383,609,834,988,1344,1018,808,617,365,209
15,228,381,607,831,985,1343,1017,803,613,364,209
16,227,376,606,826,978,1335,1014,800,610,363,208
17,226,372,605,818,974,1328,1013,797,608,361,203
18,222,371,604,814,972,1325,1012,794,607,360,203
19,221,370,604,813,968,1320,1010,792,606,359,203
20,221,369,601,812,967,1314,1010,789,606,358,203
21,220,369,601,810,967,1310,1007,786,606,358,203
22,220,369,600,807,964,1308,1004,784,606,358,203
23,219,368,597,804,963,1304,999,780,604,357,203
24,219,366,594,799,961,1298,995,775,602,355,203
25,219,365,591,796,958,1293,991,773,598,355,202
26,219,363,586,792,948,1288,986,768,596,354,201
27,216,360,583,788,941,1283,979,766,591,352,200
28,212,358,580,782,935,1281,971,760,584,351,199
29,210,357,576,779,932,1278,969,753,579,350,199
30,210,356,571,773,924,1269,961,746,570,347,198
31,210,354,566,767,911,1264,951,740,567,343,197
32,210,353,564,763,910,1258,945,736,566,339,196
33,210,352,563,760,904,1252,939,732,563,338,196
34,209,349,560,751,901,1244,933,730,559,337,196
35,207,345,552,748,889,1236,928,724,550,336,196
36,207,343,546,745,885,1222,923,718,542,335,196
37,206,343,542,740,878,1211,916,715,539,334,195
38,205,342,539,735,873,1201,912,710,535,333,195
39,204,340,536,728,868,1195,908,707,531,330,194
40,204,339,533,722,868,1187,903,706,529,330,192
41,202,336,531,720,864,1180,900,705,527,330,192
42,202,333,530,714,863,1172,896,700,523,330,190
43,200,329,528,710,856,1165,889,697,519,328,189
44,199,328,526,702,845,1152,882,691,515,326,188
45,199,326,523,694,840,1139,871,686,514,317,186
46,196,324,520,688,836,1133,866,683,511,314,185
47,195,324,517,683,828,1124,859,680,509,309,183
48,192,322,511,677,821,1109,849,676,504,308,183
49,189,317,503,673,810,1095,842,665,499,305,179
50,185,307,501,664,794,1077,824,652,492,301,176
51,182,304,498,654,780,1060,805,645,485,296,173
52,180,295,493,642,770,1041,794,633,479,292,171
53,177,291,484,631,749,1025,785,621,471,285,171
54,177,281,476,624,742,1008,769,612,459,280,168
55,175,276,468,620,736,1001,761,607,453,275,164
56,172,272,463,616,726,993,746,601,450,274,163
57,167,272,458,608,721,984,740,600,445,271,161
58,166,270,454,605,716,979,735,597,434,270,161
59,162,267,451,600,706,967,728,585,430,269,159
60,158,263,444,595,695,947,721,580,424,265,157
61,155,257,441,588,689,935,716,569,416,261,156
62,155,252,432,580,677,913,704,566,415,260,155
63,154,245,424,576,666,891,696,555,406,257,154
64,152,238,418,563,658,877,683,552,398,254,154
65,148,236,408,557,650,868,671,543,392,252,152
66,148,234,400,553,641,854,658,539,385,250,150
67,145,232,393,545,635,838,647,526,384,243,148
68,141,228,385,540,614,821,635,512,377,238,142
69,134,222,378,528,607,797,616,501,368,236,141
70,133,221,371,519,599,776,610,494,362,231,139
71,132,216,366,512,590,762,601,486,357,228,139
72,125,214,359,505,585,751,596,480,351,226,138
73,125,211,357,499,583,743,589,476,348,224,138
74,124,207,356,491,574,738,584,471,346,223,138
75,122,207,354,487,564,726,579,466,342,221,135
76,121,203,349,480,561,725,570,459,338,215,134
77,119,201,343,476,553,719,561,456,335,213,132
78,119,197,341,475,547,707,554,450,330,211,132
79,117,194,340,471,542,704,549,447,328,210,132
80,117,192,339,468,539,701,547,445,327,209,130
81,117,192,339,466,535,698,544,444,326,209,130
82,117,191,339,465,533,697,543,444,325,209,130
83,117,191,339,464,533,695,542,443,323,209,130
84,117,191,338,464,533,695,542,443,323,209,130
85,116,191,338,464,532,694,541,442,322,209,130
86,116,191,337,464,532,693,541,442,321,209,130
87,116,191,337,464,530,692,541,441,321,209,130
88,115,190,333,463,527,689,539,437,320,208,129
89,113,190,332,463,527,687,538,437,319,207,129
90,113,190,332,463,527,686,538,437,319,207,129
